ID,Číslo místnosti,Název místnosti,Další informace k místnosti,Zobrazit číslo místnosti,Zobrazit název místnosti,Posun textu vodorovně,Posun textu svisle,Velikost fontu,Navigace
room-v0-01,V0.01,Vstupní hala,,ano,ano,,,,
room-v0-01a,V0.01a,Vrátnice,,ano,ne,,,0.5,
room-v0-02,V0.02,Šatny,,ano,ano,,,,nav-v0-02
room-v0-03,V0.03,Sborovna,,ano,ano,,,,nav-v0-03
room-v0-04,V0.04,J5,,ano,ano,,,,nav-v0-04
room-v0-05,V0.05,Technické prostory,,ano,ne,,,,nav-v0-05
room-v0-06,V0.06,Studovna,,ano,ano,,,,nav-v0-06
room-v0-07,V0.07,Klubovna,,ano,ano,,,,nav-v0-07
room-v0-08,V0.08,Hroudův sklad :),,ne,ne,,,,
room-z0-01,Z0.01,Školní klub,,ano,ano,,,,nav-v0-z0
room-z0-02,Z0.02,Ředitelna,,ano,ano,,,,nav-v0-z0 nav-z0-02
room-z0-03,Z0.03,Firemní prostory,,ano,ne,,,0.5,nav-v0-z0 nav-z0-02
room-z0-04,Z0.04,Firemní prostory,,ano,ne,,,0.5,nav-v0-z0 nav-z0-02
room-z0-05,Z0.05,Zástupce ředitele,,ano,ano,,,,nav-v0-z0 nav-z0-05
room-z0-06,Z0.06,Zástupce ředitele,,ano,ano,,,,nav-v0-z0 nav-z0-06
room-z0-07,Z0.07,Hospodář,,ano,ano,,,0.5,nav-v0-z0 nav-z0-07
room-z0-08,Z0.08,Ekonom,,ano,ano,,,0.5,nav-v0-z0 nav-z0-08
room-z0-09,Z0.09,Kuchyňka,,ano,ano,,,,nav-v0-z0 nav-z0-02
room-z0-10,Z0.10,J4,,ano,ano,,,,nav-v0-z0 nav-z0-10
room-z0-11,Z0.11,WC ženy,,ano,ano,1.1,,0.75,nav-v0-z0 nav-z0-11
room-z0-12,Z0.12,WC učitelé,,ano,ano,,,,nav-v0-z0 nav-z0-12
room-z0-13,Z0.13,WC muži,,ano,ano,,,,nav-v0-z0 nav-z0-13
room-z0-13b,Z0.13b,Technické prostory,,ne,ne,,,,nav-v0-z0 nav-z0-13
room-z0-14,Z0.14,Dílna,,ano,ano,,,,nav-v0-z0 nav-z0-14
room-z1-01,Z1.01,Chemie,,ano,ano,,,,nav-v0-z0 nav-z0-z1 nav-z1-01
room-z1-02,Z1.02,Kabinet,Marešová,ano,ano,,,,nav-v0-z0 nav-z0-z1 nav-z1-02
room-z1-03,Z1.03,Kabinet,Jurmanová,ano,ano,,,,nav-v0-z0 nav-z0-z1 nav-z1-03
room-z1-04,Z1.04,Chemická laboratoř,,ano,ano,,,,nav-v0-z0 nav-z0-z1 nav-z1-04
